Complexity,Loss,Equation
1,0.0011467609,"0.11201054"
2,0.0002993992,"sqrt(x1)"
3,6.005489e-5,"x1 ^ 0.46811622"
4,5.943157e-5,"sin(x1 ^ 0.46749812)"
5,5.885913e-5,"sin(sin(x1 ^ 0.46687156))"
6,5.4571203e-5,"sqrt(x1 * 1.5951065) - x1"
7,3.3789758e-5,"(x1 ^ (x1 + 0.11283394)) - 0.44506904"
10,3.3532546e-5,"(x1 ^ 0.054897007) + sin((x1 - 0.7279495) - x0)"
11,2.4525152e-5,"((sqrt(x1) * 1.6590319) - square(-12.397577 * x1)) - 0.028405115"
12,2.4157069e-5,"sin((sqrt(x1) * 1.6406022) - square(x1 * -12.150418)) - 0.026539037"
13,2.4146852e-5,"sin(sin(((sqrt(x1) * 1.6425213) - square(x1 * -12.1501)) - 0.026583286))"
14,2.3896198e-5,"((sqrt(x1 + sqrt(x0)) * 1.6590319) - square(x1 * -12.397577)) - 0.028401295"
15,2.3890141e-5,"((sqrt(x1 + sqrt(x0)) * 1.6590319) - sin(square(x1 * -12.397577))) - 0.028405115"
16,2.375771e-5,"sin(((sqrt(x1 + sqrt(x0)) * 1.6590319) - square(sin(x1 * -12.397577))) - 0.028405115)"
17,2.3757362e-5,"sin(((1.6590319 * sqrt(x1 + sqrt(x0))) - square(sin(x1 * -12.397577))) - sin(0.028405115))"
19,2.3701412e-5,"((sqrt((x1 + sqrt(x0)) + sqrt(x0)) * 1.6590319) + (x0 - square(-12.397577 * x1))) - 0.028405115"
20,2.3482233e-5,"(sqrt(x1 + (sqrt(x0) + sqrt(x0))) * 1.6642069) + sin((x0 - square(x1 * -12.396839)) - 0.029360298)"
