Complexity,Loss,Equation
1,0.0009810638,"0.10423427"
2,0.000107973334,"sqrt(x1)"
3,5.3981374e-5,"x1 ^ 0.484272"
4,5.328383e-5,"sin(x1 ^ 0.4837171)"
5,3.2584994e-5,"(x0 * x1) ^ 0.47581428"
6,3.207058e-5,"sin((x1 * x0) ^ 0.47527334)"
7,3.0050205e-5,"square(sin((x0 * x1) ^ 0.23343216))"
8,2.9587445e-5,"sin(square(sin(x1 ^ 0.05710128)) + -0.37189704)"
9,1.4979605e-5,"square(sin((x1 * x0) ^ 0.055168733)) + -0.37530744"
11,8.789841e-6,"(x0 * (0.17310643 * cos(log(x1) * 0.27084088))) - -0.06140656"
13,5.8844435e-6,"((cos(log(x1) * 0.3293708) + 0.3793351) * (x0 * 0.14326012)) - -0.054573096"
14,5.6885365e-6,"sin(((x0 * (cos(log(x1) * 0.33681482) + 0.3793705)) * 0.14105646) - -0.059816193)"
15,3.8665034e-6,"((((cos(log(x1) * 0.39681548) + 0.6576934) * 0.15524343) * x0) - -0.06394534) - x1"
16,3.7137327e-6,"(((x0 * 0.15536328) * (0.59501934 + cos(log(sin(x1)) * 0.38996115))) - -0.06860548) - x1"
18,3.7130733e-6,"(((x0 * 0.15537712) * (cos(log(sin(sin(x1))) * 0.3899574) + 0.595027)) - -0.06861633) - sin(x1)"
