Complexity,Loss,Equation
1,0.9999999,"9.154395e-6"
2,0.95146096,"sqrt(x1)"
3,0.5852803,"-0.0026276782 / x1"
5,0.046637483,"cos(log(x1)) * -1.7158669"
6,0.012959866,"(log(x1) * 1.3506992) - -6.4636617"
8,0.012777642,"((x1 + log(x1)) * 1.343727) - -6.4199667"
9,0.010623238,"(cos(log(x1 * 0.06656724)) + -0.32531703) / 0.59081215"
11,0.01060119,"(cos(log(x1 * 0.06714092) - x1) + -0.32523596) / 0.5908147"
12,0.004881181,"(cos(x0) - (sin(log(x1 * 0.31699482)) * -2.466541)) / 1.4573468"
15,0.004877499,"(cos(x0) - ((sin(log(x1 * 0.3169944)) / cos(x1)) * -2.466541)) / 1.4573467"
16,0.0045753056,"(cos(x0) - (((-0.7704924 - x1) / 0.33277237) * sin(log(x1 * 0.3224127)))) / 1.3851349"
17,0.0041070767,"(cos(x0) - ((sin(log(x1 * 0.32690626)) * -1.1741716) / cos(square(exp(x1))))) / 1.3261529"
19,0.0040424136,"(cos(x0) - ((sin(log(x1 * 0.32690623)) * -1.1741716) / cos(square(exp(x1))))) / (1.3261529 - x1)"
