Complexity,Loss,Equation
1,0.00106461,"0.10432519"
2,9.31746e-5,"sqrt(x1)"
3,3.33026e-5,"x1 ^ 0.4834854"
4,3.3006276e-5,"sin(x1 ^ 0.48293352)"
5,1.4641696e-5,"(x1 ^ 0.063080125) - 0.6359959"
8,9.956821e-6,"sin((x1 ^ 0.67474174) / -0.04787952) * -0.14031279"
10,9.812536e-6,"sin(((x1 ^ 0.6746746) / -0.047772765) + 0.0041189273) * -0.14047948"
11,9.697442e-6,"inv(x2) + (sin((x1 ^ 0.6747903) / -0.048145346) * -0.14019832)"
12,9.697023e-6,"(sin(sin(x1 ^ 0.6747903) / -0.048145346) * -0.14019832) + inv(x2)"
13,9.668054e-6,"(sin((x1 ^ 0.6747903) / -0.048145346) + (-8.94522 * inv(x2))) * -0.14019832"
14,9.667737e-6,"(sin((sin(x1) ^ 0.6747903) / -0.048145346) + (inv(x2) * -8.94522)) * -0.14019832"
15,9.570528e-6,"(((inv(x2) * -8.94522) + 0.0015496851) + sin((x1 ^ 0.6747903) / -0.048145346)) * -0.14019832"
16,9.562124e-6,"((inv(x2) * (-8.94522 + -3.0325012)) + sin((x1 ^ 0.6747903) / -0.048145346)) * sin(-0.14019832)"
17,9.561104e-6,"-0.14031279 * sin((((inv(x0) / x0) / x0) + ((x1 ^ 0.67474174) / -0.047897834)) - x1)"
