Complexity,Loss,Equation
1,0.9594898,"x1"
2,0.84808844,"log(x0)"
3,0.60984397,"-0.0024375212 / x1"
4,0.26160342,"log(x1) - -4.708657"
6,0.2513526,"log((x1 * x0) * 157.1668)"
7,0.14423561,"log(x0 * (sin(x1) * 113.30133))"
8,0.03683308,"((sqrt(x1) * 28.79715) * x0) - 2.8592124"
9,0.0364006,"((x0 * 28.797161) * sin(sqrt(x1))) - 2.8592136"
10,0.032823246,"(((x0 * 32.56801) - 5.065605) * sqrt(x1)) - 2.7339463"
15,0.02528955,"(sqrt(exp(square(x0))) * sin(sqrt(sqrt(cos(x0) / x1)))) - cos(x0)"
18,0.02504646,"(exp(sqrt(sin(x0 - 0.6956097))) * sin(sqrt(sqrt(cos(x0) / sin(x1))))) - cos(x0)"
19,0.022860017,"(exp(sqrt(sin(x0 * (x0 - 0.6956097)))) * sin(sqrt(sqrt(cos(x0) / x1)))) - cos(x0)"
20,0.022848811,"(exp(sqrt(sin((x0 - 0.69938225) * x0))) * sin(sqrt(sqrt(cos(x0) / sin(x1))))) - cos(x0)"
