Complexity,Loss,Equation
1,0.96228635,"-0.066555426"
2,0.7872253,"log(x1)"
3,0.5775736,"x1 + -0.62529564"
4,0.14604563,"log(x0 * x1)"
6,0.119885966,"log((x1 * x0) ^ 1.2132356)"
7,0.072385915,"log((exp(x0) * 0.27921858) * x1)"
8,0.030205,"log((x0 ^ (x1 * x0)) - 0.9644889)"
9,0.020116592,"log((x0 ^ (sin(x1) * x0)) - 0.9644427)"
11,0.014786215,"log(((x0 * 1.0414275) ^ (sin(x1) * x0)) - 0.9717961)"
13,0.008648864,"log((x0 ^ ((sin(x1 * 1.2390609) * x0) + -0.2099928)) - 0.8594153)"
16,0.007959366,"log((x0 ^ (x0 * sin(sin(x1 ^ (x1 ^ -0.12867482))))) - 0.93370354) + 0.21290769"
