Complexity,Loss,Equation
1,0.96228635,"-0.06643404"
2,0.7872253,"log(x1)"
3,0.5775736,"x1 - 0.62527096"
4,0.14604563,"log(x1 * x0)"
6,0.11988598,"log(x0 * x1) * 1.2132393"
7,0.07238591,"log((x1 * 0.27923146) * exp(x0))"
8,0.030204995,"log((x0 ^ (x1 * x0)) - 0.96446884)"
9,0.01959285,"log((x0 ^ (sin(x1) * x0)) - 0.94958407)"
11,0.015164205,"(log((x1 ^ 0.57491976) * x0) * x0) - inv(x0)"
12,0.011696926,"(x0 * log((x1 ^ 0.57491976) * (x0 ^ 1.2104999))) - 0.86214113"
15,0.008584722,"(log((x1 ^ 0.5750096) * (x0 * 1.2905352)) * x0) - (x2 / sin(x2))"
16,0.0076912097,"(x0 * log((x1 ^ 0.5759419) * x0)) - (0.81312764 ^ (x0 * (x0 - x2)))"
18,0.0072040115,"(log((x1 ^ 0.57471347) * x0) * x0) - sin((0.752607 ^ square(x0 - x2)) - -0.035795122)"
