Complexity,Loss,Equation
1,4.384306,"-1.819587"
3,2.0231023,"inv(log(x2))"
4,1.169805,"x2 / log(x2)"
5,1.0730494,"3.6393683 - (x2 * 9.098424)"
6,0.5784838,"log(square(log(x2) / x0))"
8,0.44780362,"((x0 * 0.844409) / log(x2)) + 1.1567287"
9,0.16521366,"log(square(square((log(x2) + -0.27787757) / x0)))"
11,0.15725316,"log(square(square(log(1.2764719 / x2) / x0))) + 0.23085232"
13,0.1564586,"log(square(square((log(x2 / 1.2528694) / x0) + -0.0147907))) + 0.23053832"
14,0.08593586,"log(square(square(log(1.2765833 / x2) / x0) + (0.0060941596 / sin(x1))))"
15,0.084097825,"log((0.00293153 / x1) + square(square(log((-0.28300408 + x2) / x2) / x0)))"
