Complexity,Loss,Equation
1,4.384306,"-1.8196721"
3,2.0231023,"inv(log(x2))"
4,1.169805,"x2 / log(x2)"
5,1.0730494,"3.6391034 - (x2 * 9.097996)"
6,0.58145744,"(x0 / log(x2)) + 1.7051067"
7,0.17477445,"(x2 / -0.11051433) + (4.2388153 / x0)"
9,0.16894431,"(x2 / -0.11012994) + (4.2477803 / (x0 - 0.025624461))"
11,0.16818005,"((x2 / -0.11117617) + ((4.5885744 / x0) - -0.31781954)) + -0.60417587"
12,0.16649629,"(1.5066277 / (sqrt(x0) * 0.28894395)) - (x0 + (x2 / 0.1128676))"
13,0.16239735,"(x1 * -0.24729402) + ((x2 / -0.11461515) + (3.64641 / (x0 - 0.13292503)))"
18,0.10812225,"((-1.0705079 - (-0.020432044 / x1)) * (x0 * (exp(x2) - -1.3342484))) + ((0.57551265 / x2) / x2)"
