Complexity,Loss,Equation
1,0.97717506,"-0.1384501"
3,0.24358816,"cos(square(x0))"
4,0.110479265,"sin(x0 / 0.32455242)"
5,0.020081269,"(x0 - 2.0424862) * 3.3206716"
6,0.020051897,"cos(x0 * 0.7688771) * -4.3881106"
7,0.019947266,"(2.4363449 - (x0 ^ 1.2427069)) * -2.2542167"
10,0.0045864177,"((cos(x0 * 0.7025616) * -4.8536716) - x2) + 1.2423581"
11,0.00088566303,"sin(x2 + 1.7393416) - (cos(x0 * 0.69762456) * 4.940899)"
12,0.00079749926,"sqrt(cos(x2 + 0.51128197)) - (cos(x0 * 0.702316) * 4.8521676)"
15,0.0007938871,"sin((x2 + 1.8481382) * 0.9689206) - ((cos(x0 * 0.7240133) * 4.684123) + 0.26314446)"
16,0.0003596536,"sin(sqrt((x0 * (x2 / 0.43694124)) - -2.8739939)) - (cos(x0 * 0.7029012) * 5.164028)"
20,0.00033328444,"sin(sqrt(((x2 * ((x0 * 0.80815274) + x0)) + x2) - -2.8709354)) - (cos(x0 * 0.70218796) * 5.097652)"
