Complexity,Loss,Equation
1,4.860017,"-1.21852"
3,3.9691696,"x2 / -0.41035464"
4,3.5415218,"0.51335865 / log(x2)"
5,3.3752713,"(1.9498901 / x2) - 4.8745756"
6,3.163815,"x1 + (0.6020571 / log(x2))"
7,2.9772985,"(cos(x1) / log(x2)) + x2"
8,2.6090028,"x2 / (log(x2) - square(square(x1)))"
9,2.607194,"x2 / (log(x2) - sin(square(square(x1))))"
10,2.5837982,"x2 / (log(x2) - (square(square(x1)) + -0.033572525))"
11,2.3426468,"exp(sin(-0.5014911 - (x1 ^ -1.03653))) * (x2 * -3.0996091)"
12,1.904582,"((1.5322857 - sin(x1 ^ -1.0613008)) * -4.288446) * (x2 * x2)"
14,1.61573,"x2 * ((1.3227394 - sin(x1 ^ -1.0611575)) * ((x2 * -6.237307) * x2))"
16,1.6066908,"x2 * ((x2 * (x2 * (1.3241678 - sin(x1 ^ -1.0611783)))) * (-5.436682 - x2))"
17,1.5968206,"((x2 * x2) * (((0.9892644 - sin(sin(x1 ^ -1.0604028))) * -7.306453) - x2)) * x2"
19,1.5666542,"x2 * (x2 * (((x2 * -6.161745) * (1.3358133 - sin(sin(x1) ^ -1.0599946))) - (x2 - x2)))"
20,1.551071,"x2 * (((x2 * ((x2 * x2) ^ 0.9423877)) * ((1.4750248 - sin(x1 ^ -1.0614203)) * -7.532495)) - -0.51554984)"
