Complexity,Loss,Equation
1,1.7247615,"-0.6620199"
3,1.1529975,"cos(exp(x0))"
4,0.66165715,"log(x0 - x2)"
5,0.43067637,"log(square(x0 - x2))"
6,0.31525013,"log(square(x0 - sin(x2)))"
7,0.25261664,"((x0 - x2) * 3.4077888) - 3.2434614"
9,0.2083466,"(log(x0 - x2) * exp(x1)) * x0"
10,0.18935564,"x0 * (exp(sin(x1)) * log(x0 - x2))"
11,0.17839801,"x0 * ((exp(x1) * log(x0 - x2)) + 0.1340953)"
12,0.173771,"x0 * ((exp(sin(x1)) * log(x0 - x2)) + 0.1340953)"
13,0.14734264,"log(x0 * (x0 * (x0 - x2))) - (x2 / cos(x1))"
14,0.1266931,"log((x0 * (x0 - x2)) ^ x0) - (x2 * (x1 / 0.5018574))"
16,0.077070765,"(x0 * (cos((x2 * (x2 + x1)) / (0.16826771 - x0)) / 0.37727964)) + -3.3928943"
18,0.06621911,"((cos(((x2 / (x0 + -0.2504024)) + (x1 * x2)) - 0.33561465) * x0) / 0.3514315) + -3.7222295"
19,0.058728643,"(cos((square(x2 * x1) + (x2 + 0.26436603)) / (x0 - 0.13603844)) * (x0 / 0.39147407)) + -2.8430095"
