Complexity,Loss,Equation
1,13.067745,"-3.032025"
3,5.7224045,"inv(log(x2))"
4,4.4890313,"log(0.80440885 - x2)"
5,3.8744571,"6.0643306 - (x2 * 15.160631)"
7,3.4283571,"6.200561 - (x0 * (x2 * 2.1951675))"
8,3.2947729,"((x2 ^ -2.2287717) - x0) - sin(x0)"
9,3.2913108,"(4.913644 - ((x2 * x0) * 1.7487339)) / x2"
10,3.2908862,"((x2 ^ -2.228844) - (x0 + 0.062503405)) - sin(x0)"
11,3.2361467,"((x2 * -14.642146) - (x0 ^ (1.0242811 ^ x0))) + 15.836621"
13,3.2037868,"((x2 ^ -2.2608829) - x0) - (sin(x0) - sin(x2 - x0))"
15,3.193983,"((x2 * -15.156773) - ((x0 * 2.790761) + 0.89944875)) - (-26.523167 - (x0 ^ -21.408854))"
