Complexity,Loss,Equation
1,142.74857,"-11.159372"
3,68.01996,"x2 * -22.319891"
4,20.729877,"inv(x2 + -0.84497875)"
5,18.200874,"(x2 * -55.8006) - -22.32027"
7,16.776865,"((x2 * -55.800457) - x1) + 22.879002"
8,10.005551,"(x2 * (inv(x1) + -58.883495)) - -22.31971"
10,6.231282,"(12.466199 - (x2 * 31.165285)) * (x1 + inv(x2))"
11,4.730344,"(sqrt(sin(x1)) * 66.99502) * (0.15973249 - (x2 * x2))"
13,4.588157,"(sin(sqrt(x1)) * 22.202623) * (x0 * ((0.399012 - x2) * x2))"
14,4.302437,"x2 - square((x2 * (3.3015084 ^ (x2 + (x1 ^ 0.12456039)))) - 1.4136069)"
15,4.2759438,"((x0 * (sin(sqrt(x1)) * 13.072967)) - -6.077071) * (0.16361555 - (x2 * x2))"
18,4.113805,"sqrt(x1 ^ 0.7261957) * (((x2 * 18.253813) * (x0 * (0.30675232 - (x2 * x2)))) - 5.212387)"
