Complexity,Loss,Equation
1,0.97717506,"-0.1384501"
3,0.24358816,"cos(square(x0))"
4,0.15204193,"sin(x0 * -4.641255)"
5,0.020081269,"(x0 * 3.3206818) - 6.7824535"
6,0.020051897,"cos(x0 * 0.76887804) * -4.3880897"
8,0.019957257,"(cos(x0 * 0.7158436) * -4.7464194) + 0.50252753"
9,0.0047055343,"(((x0 + -0.581625) * 3.320677) - 4.251054) - x2"
10,0.0012009914,"(cos(x0 * 0.81888384) * -4.135947) + (x2 * -0.6840048)"
11,0.0009158791,"((x0 * 3.3206089) + ((x2 * x2) / -1.7305315)) + -6.5511665"
13,0.0008365293,"(cos(x0 * 0.75242436) * -4.4874706) + (x2 * cos(x2 * -1.9504011))"
14,0.00081877125,"(square(square(x2)) * -1.7621793) + ((cos(x0 * -0.74496573) * -4.53686) + x2)"
15,0.0003333077,"(cos((x0 * sin((5.302768 / x2) + 0.93283045)) * -0.7403987) + -0.08925921) * -4.6845317"
