Complexity,Loss,Equation
1,39.942684,"-6.1014338"
3,17.60209,"x2 * -12.203982"
4,7.08887,"square(x2) * -17.947033"
5,2.7083607,"(x2 * -30.510105) + 12.204062"
7,2.2632165,"11.980547 - (x2 * (x0 * 6.2293334))"
8,2.2620745,"(0.77291393 - (x0 * square(x2))) * 5.249973"
9,1.9678264,"((x2 * -30.51364) + (x0 * -2.9221444)) + 26.34357"
11,1.8630092,"11.980547 - (x2 * ((x0 * 6.2293334) - cos(inv(x1))))"
12,1.6330826,"11.763786 - (((6.354676 - square(x1 - 0.21549648)) * x0) * x2)"
14,1.4771712,"26.34602 - ((((cos(x1) * 7.1209116) + 24.730003) * x2) + (x0 * 2.923734))"
18,0.88026327,"12.942545 - (((x0 * 4.3528433) - (square((0.34485635 - (x1 * x2)) * x0) - 11.930544)) * x2)"
