Complexity,Loss,Equation
1,4.384306,"-1.8196721"
3,2.0231023,"inv(log(x2))"
4,1.169805,"x2 / log(x2)"
5,1.0730494,"(x2 * -9.098396) + 3.6393502"
6,0.5969339,"(x0 / log(x2)) + 1.5807582"
7,0.50146884,"(x0 / log(x2)) + exp(x2)"
8,0.17583175,"((inv(x2) + -1.2228382) - x0) * 2.9691412"
10,0.16870607,"(((x0 * -1.1088034) - 1.097337) + inv(x2)) * 2.9114995"
12,0.13233374,"(2.9691355 - (x2 - x1)) * (-1.2228138 + (inv(x2) - x0))"
16,0.13194032,"(((inv(x2) + (x0 * -1.3187906)) - x2) * 2.448134) + (x2 - (x1 - -0.89798665))"
