Complexity,Loss,Equation
1,16.879349,"-3.7449672"
3,7.975638,"inv(log(x2))"
4,4.5043635,"square(x2) * -11.014671"
5,2.8543656,"(x2 * -18.72496) - -7.489982"
7,2.7719972,"(5.992079 / x2) + (-14.4213295 - x1)"
8,2.0621996,"((cos(x0) + 5.63218) / x2) + -14.980002"
9,1.9996674,"((4.7936397 / x2) + (x0 + -35.931564)) / x2"
12,1.5697461,"((6.0456066 / x2) + -14.886916) - (cos(x0 - -2.694425) / 0.25923854)"
16,1.5459174,"(inv((0.43062857 / x2) + -0.79022366) - (0.11979971 ^ sin(sin(x0 + 0.28004783)))) - -0.8227114"
17,1.4636327,"(inv((0.49542364 / x2) + -1.0445479) + (0.23572986 - (0.16050874 ^ sin(x0 - -0.10950712)))) - x1"
18,1.463319,"(x2 - (0.113762476 ^ sin(sin(x0 - -0.23015623)))) + (inv((0.42837712 / x2) + -0.8643533) - x1)"
