Complexity,Loss,Equation
1,142.74858,"-11.160098"
3,68.01996,"x2 * -22.32022"
4,32.146763,"4.7017665 / log(x2)"
5,18.200874,"22.32026 - (x2 * 55.800583)"
7,16.776865,"((x2 * -55.800373) - -22.8789) - x1"
8,5.5582256,"sqrt(x1) * ((x2 * -76.515785) + 30.606314)"
9,4.386783,"sin(sqrt(x1)) * ((x2 * -86.541275) - -34.616863)"
11,4.2844405,"(sin(sqrt(x1)) * ((x2 * -86.542175) - -36.4281)) - 1.2416519"
12,4.2302012,"(((square(x1) + -73.4912) * x2) - -29.06568) * (x1 ^ 0.3966166)"
14,4.2102766,"(((x2 * -82.06856) - -32.27935) * sqrt(sin(sin(x1 + 0.048590746)))) + x2"
16,4.1969223,"(((x2 * -86.739204) - -34.112198) * sqrt(sin(sin(x1 + 0.15198861)) + -0.118719496)) + x2"
