Complexity,Loss,Equation
1,1.176658,"-0.5198241"
2,1.0486326,"sin(x0)"
3,0.7072886,"x0 + -6.861225"
4,0.55022347,"sin(x0) - x2"
5,0.28665915,"(x0 * 3.1997137) - 20.810316"
6,0.12799513,"(sin(x0) * 3.2244115) - x2"
7,0.118752256,"((x0 * 3.1997707) - 20.210678) - x2"
8,0.027383782,"sin(x0 - square(square(x2))) * 3.2203965"
9,0.018847993,"((square(x2) - sin(x0)) * -3.2081246) + x2"
10,0.012453548,"((sin(-0.26450518 - x0) / 0.75549424) + x2) * -2.6160529"
16,0.011797677,"((x2 + -0.32619813) - ((1.5065573 ^ cos(x2)) * sin(sin(sin(sin(x0)))))) * -2.5425463"
