Complexity,Loss,Equation
1,1.1969156,"-0.45286033"
2,0.83018243,"sin(x0)"
3,0.21672681,"x0 / 0.2905544"
5,0.20092674,"(x2 + 2.8012645) * x0"
6,0.15086907,"(x0 / 0.33550072) - square(x2)"
7,0.0411407,"((x0 - x2) + 0.56533027) / 0.3312272"
8,0.0153715685,"((x0 - sin(x2)) + 0.5282312) / 0.31019354"
9,0.007866802,"((x0 - (x2 * 0.6728605)) + 0.38453227) / 0.2970402"
10,0.007866685,"(x0 * 3.3676665) + (cos(x2 * 2.3780344) - 0.19200574)"
11,0.007866675,"((x0 - (x2 * 2.2652943)) + 1.2947267) + (x0 * 2.3677573)"
12,0.005561052,"(x0 * 3.3677514) + (0.8221277 - ((x2 + cos(x1)) * x2))"
14,0.0029740776,"((x0 * 3.3677516) + 0.97471446) - (x2 * ((cos(x1) + 0.25431126) + x2))"
16,0.0026777943,"((x0 * 2.399229) + 1.2931944) + (sin(x0) - (x2 * ((x1 * -0.37657148) + 2.4757442)))"
17,0.0022593741,"(((x0 * 2.3928668) + 1.2900674) + sin(x0)) - (x2 * (cos(x1 * 0.827532) + 1.3930725))"
18,0.0013029755,"((x0 + 1.0184634) + (x0 * 2.3677516)) - (x2 * ((cos(x1 * x2) + x2) * 1.146862))"
19,0.001188376,"(((x0 * 2.399998) + 1.017) + sin(x0)) - ((x2 * (cos(x2 * x1) + x2)) * 1.1468624)"
