Complexity,Loss,Equation
1,0.9908258,"-0.086712964"
3,0.25231048,"cos(square(x0))"
4,0.10019925,"sin(x0 / 0.32220984)"
5,0.008421953,"(x0 * 3.3643014) - 6.818008"
7,0.00842195,"((x0 * 3.3643043) - -1.0379196) + -7.855934"
8,0.002861153,"((x0 * 3.3643014) + -6.0545673) - sqrt(x2)"
9,0.0009019133,"((x0 * 3.364429) + -6.559007) - (x2 * 0.43289676)"
10,0.0009016591,"((x0 * 3.3642964) + -6.119397) - sin(x2 ^ 0.45612383)"
16,0.0008894868,"((-0.42818126 / cos(cos(cos(x0)))) / cos(sin(x2))) + ((x0 - 1.7548425) / 0.3288024)"
17,0.0008862248,"((x0 - 1.7390567) / 0.33072373) + ((-0.48813316 / cos(cos(cos(x0)))) / cos(cos(exp(x2))))"
18,0.00037202038,"((-0.46900088 / cos(cos(x0 - 2.3081396))) / cos(cos(exp(x2)))) + ((x0 - 1.7883136) / 0.27259216)"
