Complexity,Loss,Equation
1,1.8741739,"-0.5797171"
2,1.75686,"cos(x0)"
3,1.6072662,"x0 - 4.282439"
4,1.5005118,"cos(x0 + x1)"
5,1.4153879,"(x0 - 3.6824336) - x2"
6,1.2827355,"sin((x0 + x1) / 0.35169318)"
7,1.208257,"cos(x0 - log(x2)) * 1.7691159"
8,1.0434033,"cos((x1 + x0) / 0.40179735) - x2"
9,0.9197826,"sin((x0 + x1) / 0.35169318) - square(x2)"
11,0.8190183,"sin((x0 + x1) / 0.35169318) - sin(inv(square(x2)))"
13,0.81097084,"(sin((x0 + x1) / 0.35169318) - sin(inv(square(x2)))) / 0.9153712"
14,0.80891055,"(sin((sin(x1) + x0) / 0.35169318) - sin(inv(square(x2)))) / 0.9153712"
15,0.7825117,"((sin((x0 + x1) / 0.35169318) - sin(inv(square(x2)))) / 0.9153712) - -0.1764802"
17,0.7440615,"(sin((x0 + sin(x1)) / 0.35169318) + (cos(log(square(exp(x2)))) - x2)) / 0.92964697"
18,0.64529854,"sin((x0 + cos(sqrt(0.6469309 / x1) + sin(-0.53043187))) / 0.35651806) - sin(square(inv(x2)))"
