Complexity,Loss,Equation
1,1.8741739,"-0.5796529"
2,1.75686,"cos(x0)"
3,1.6072663,"x0 - 4.282437"
4,1.5005118,"cos(x1 + x0)"
5,1.3786682,"sin(inv(x2) + x0)"
6,1.2172985,"sin((x1 + x0) * 2.7728581)"
7,1.2026632,"cos(2.4049656 * (x0 + sin(x1)))"
8,1.1131996,"cos(2.4049656 * (x1 + x0)) / 0.5930761"
9,1.109702,"sin(cos(2.4049656 * (x0 + x1))) / 0.6177478"
10,1.0858997,"sin((x1 * -2.2927659) + (x0 * (-1.5220791 / x2)))"
11,1.0466117,"sin((sin(x0) + (x1 / -1.395192)) / 0.3269442) - x2"
12,0.97004145,"sin((sin(x0) + (x1 / -1.395192)) / 0.3269442) - square(x2)"
14,0.91572595,"sin((sin(x0) + (x1 / -0.6049041)) / exp(sin(x0))) - square(x2)"
16,0.8309847,"sin(((x1 / -0.5859545) + sin(x0)) / exp(sin(x0))) - sin(inv(square(x2)))"
17,0.821417,"sin(((x1 / -0.5978201) + sin(x0)) / exp(sin(x0))) - sin(sin(inv(square(x2))))"
18,0.77016807,"sin(((x1 / -0.5859545) + sin(x0)) / exp(sin(x0))) - sin(square(inv(x2) - x1))"
20,0.76586944,"((sin((sin(x0) + (x1 / -0.6049041)) / exp(sin(x0))) - sin(square(inv(x2)))) - -0.22905606) / 0.9324934"
