Complexity,Loss,Equation
1,1.8741739,"-0.5797024"
3,1.6072662,"x0 + -1.0797493"
4,1.4940218,"square(x0) - x2"
5,1.2633549,"-1.4752045 + (x0 / x2)"
7,1.0174818,"((x0 * x1) - x2) * 2.3614712"
8,0.9173476,"((x1 * x0) - square(x2)) * 3.1356797"
9,0.8690726,"((x1 * x0) + (x2 * -0.6856842)) * 3.7320838"
10,0.857702,"(x0 * (sqrt(x1) * 3.4082174)) + (x2 * -2.8489757)"
11,0.83507186,"((x0 * ((x0 + 0.70860225) * x1)) - x2) * 2.420727"
12,0.8162779,"(((x0 * x0) * sin(x1)) + (x2 * -0.46709922)) * 4.92578"
14,0.7816693,"((x2 * -0.51974326) + (((x1 ^ x2) * sin(x0)) * x0)) * 4.509301"
16,0.77994376,"2.9520657 * ((x0 * sin(((x2 * -0.27160504) + x1) + x1)) + (x2 * -0.82728267))"
17,0.76921594,"(((sin(x0) * (x1 ^ x2)) * sin(x0)) + (-0.51974326 * x2)) * (x0 + 4.3411565)"
18,0.7668558,"(((x2 * (x0 * ((x1 * inv(x2)) ^ x2))) + (x2 * -0.7698942)) * 4.694288) + 0.48860002"
20,0.76244426,"(sin(inv(x1 + 0.3012284) - ((x0 + cos(0.0044568107 ^ (x1 * x1))) * 3.0079577)) - x2) - -0.032224976"
